"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL1795981";"";"0";"282.34";"0";"3.25";"BDBM50346586";"NC1CC1c1ccc(NC(=O)OCc2ccccc2)cc1";"Ki";"'='";"1900.0";"nM";"5.72";"";"254283";"UO_0000065";"20.26";"0.37";"2.47";"8.89";"False";"CHEMBL3705733";"Biological Assay: Human recombinant MAO A and MAO B were expressed in Pichia pastoris and purified as published (Binda C, et al., Proc. Natl. Acad. Sci. USA 100: 9750-9755, 2003) Inhibition assays and Ki values were measured using kynuramine (MAO A) and benzylamine (MAO B) as substrates at pH 7.5 according to published procedures (Binda C, et al., Proc. Natl. Acad. Sci. USA 100: 9750-9755, 2003). Mouse recombinant LSD2 was expressed in E. coli and purified as described (Karytinos A, et al., J. Biol. Chem. 284:17775-17782, 2009). Human recombinant LSD1/CoREST were expressed in E. coli as separate proteins and co-purified following previously reported procedures (Forneris F, et al. Trends Biochem Sci 33:181-189, 2008). Enzymatic activities and inhibition assays with both demethylases were carried out at pH 7.5-8.0 using a methylated H3 peptide (Forneris F, et al., J. Biol. Chem. 282: 20070-20074 2007, Karytinos A, et al., J. Biol. Chem. 284:17775-17782, 2009).";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638366";"37";"BindingDB Database";"";"2014";"None";""
"CHEMBL4170367";"";"0";"278.83";"0";"2.18";"(+/-)-19b";"Cl.N[C@H]1CC[C@H](N[C@H]2[C@H]3Cc4ccccc4[C@H]32)CC1";"FC";"'='";"11.4";"";"";"";"";"";"";"";"";"";"False";"CHEMBL4135165";"Inhibition of LSD1 in human MV-4-11 cells assessed as increase in CD86 mRNA expression after 10 days by SYBR Green dye-bsed RT-qPCR analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4130492";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";""
"CHEMBL3330329";"";"0";"197.71";"0";"2.28";"19b";"CC[C@@]1(N)C[C@@H]1c1ccccc1.Cl";"IC50";"'='";"779.0";"nM";"6.11";"";"";"UO_0000065";"37.88";"0.70";"3.83";"23.48";"False";"CHEMBL3388870";"Inhibition of human recombinant KDM1A/CoREST expressed in Escherichia coli assessed as reduction in H2O2 release using synthetic mono-methylated H3-K4 peptide (21 amino acids) substrate by horseradish peroxidase coupled enzyme assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351849";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2014";"None";""
"CHEMBL4107247";"";"0";"230.35";"0";"2.40";"BDBM254559";"NC1CCCC(N[C@H]2C[C@@H]2c2ccccc2)C1";"IC50";"'='";"45.0";"nM";"7.35";"";"443233";"UO_0000065";"31.89";"0.59";"4.95";"19.31";"False";"CHEMBL3887191";"Biological Assay: The compounds of the invention can be tested for their ability to inhibit LSD1. The ability of the compounds of the invention to inhibit LSD1 can be tested as follows. Human recombinant LSD1 protein was purchased from BPS Bioscience Inc (catalog reference number 50100: human recombinant LSD1, GenBank accession no. NM_015013, amino acids 158-end with N-terminal GST tag, MW: 103 kDa). In order to monitor LSD1 enzymatic activity and/or its inhibition rate by our inhibitor(s) of interest, di-methylated H3-K4 peptide (Anaspec) was chosen as a substrate. The demethylase activity was estimated, under aerobic conditions, by measuring the release of H2O2 produced during the catalytic process, using the Amplex Red hydrogen peroxide/peroxidase assay kit (Invitrogen).Briefly, a fixed amount of LSD1 was incubated on ice for 15 minutes, in the absence and/or in the presence of at least eight 3-fold serial dilutions of the respective inhibitor (e.g., from 0 to 75 uM, depending on the inhibitor strength). Tranylcypromine (Biomol International) was used as a control for inhibition. Within the experiment, each concentration of inhibitor was tested in duplicate. After leaving the enzyme interacting with the inhibitor, KM of di-methylated H3-K4 peptide was added to each reaction and the experiment was left for 30 minutes at 37° C. in the dark. The enzymatic reactions were set up in a 50 mM sodium phosphate, pH 7.4 buffer. At the end of the incubation, Amplex Red reagent and horseradish peroxidase (HPR) solution were added to the reaction according to the recommendations provided by the supplier (Invitrogen), and left to incubate for 5 extra minutes at room temperature in the dark. A 1 uM H2O2 solution was used as a control of the kit efficiency. The conversion of the Amplex Red reagent to resorufin due to the presence of H2O2 in the assay, was monitored by fluorescence (excitation at 540 nm, emission at 590 nm) using a microplate reader (Infinite 200, Tecan). Arbitrary units were used to measure level of H2O2 produced in the absence and/or in the presence of inhibitor. The maximum demethylase activity of LSD1 was obtained in the absence of inhibitor and corrected for background fluorescence in the absence of LSD1. The IC50 value of each inhibitor was calculated with GraphPad Prism Software.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886143";"37";"BindingDB Database";"";"2016";"None";""
"CHEMBL4301645";"";"0";"216.33";"0";"1.88";"GSK-LSD1";"c1ccc([C@@H]2C[C@H]2NC2CCNCC2)cc1";"Activity";"";"";"";"";"";"Active";"";"";"";"";"";"False";"CHEMBL4390996";"Binding affinity to LSD1 in human A549 cells assessed as increase in stability of cellular LSD1 protein at 10 uM pre-incubated for 1 hr followed by heating at 49 degC for 3 mins by Western blot-based CESTA";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"A549";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390644";"1";"Scientific Literature";"Eur J Med Chem";"2019";"CHEMBL3307651";""
"CHEMBL4470161";"";"0";"431.90";"0";"3.60";"15";"C=C1C(=O)OCC1C(O)c1cn(S(=O)(=O)c2ccc(C)cc2)c2ccc(Cl)cc12";"IC50";"'='";"1784.0";"nM";"5.75";"";"";"UO_0000065";"13.31";"0.27";"2.15";"6.72";"False";"CHEMBL4396034";"Inhibition of recombinant LSD1 (unknown origin) (catalytic domain 157 to 852 residues) expressed in Escherichia coli BL21 using H3K4me1 as substrate incubated for 1 hr by horse-radish peroxidase/amplex red-based fluorescence method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393711";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4476120";"";"0";"289.34";"0";"3.60";"4i";"Nc1ccc(/C=C/c2ccc(O)c(-c3ncccn3)c2)cc1";"IC50";"'='";"9550.0";"nM";"5.02";"";"";"UO_0000065";"17.35";"0.31";"1.42";"6.97";"False";"CHEMBL4310660";"Inhibition of full length LSD1 (unknown origin) expressed in Escherichia coli BL21 (DE) using H3K4me2 peptide as substrate after 30 mins by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4308871";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"None";""
"CHEMBL4466585";"";"0";"306.34";"0";"4.35";"4l";"Nc1cccc(/C=C/c2ccc(O)c(-c3cc(F)ccn3)c2)c1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4310660";"Inhibition of full length LSD1 (unknown origin) expressed in Escherichia coli BL21 (DE) using H3K4me2 peptide as substrate after 30 mins by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4308871";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"None";""
"CHEMBL4440188";"";"0";"288.35";"0";"4.21";"8e";"Nc1ccc(/C=C/c2ccnc(-c3ccccc3O)c2)cc1";"IC50";"'='";"2960.0";"nM";"5.53";"";"";"UO_0000065";"19.17";"0.34";"1.32";"9.35";"False";"CHEMBL4310660";"Inhibition of full length LSD1 (unknown origin) expressed in Escherichia coli BL21 (DE) using H3K4me2 peptide as substrate after 30 mins by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4308871";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"None";""
"CHEMBL3786182";"";"0";"364.49";"0";"3.74";"GSK2879552";"O=C(O)c1ccc(CN2CCC(CN[C@@H]3C[C@H]3c3ccccc3)CC2)cc1";"Inhibition";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL4391010";"Irreversible inhibition of recombinant LSD1 (unknown origin) expressed in Escherichia coli BL21(DE) assessed as recovery of enzyme activity at 1.6 uM using H3K4me2 substrate incubated for 1 hr followed by 80 fold dilution by dilution assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390644";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL4303182";"";"0";"460.80";"1";"5.65";"EN460";"O=C(O)c1cc(N2N=C(C(F)(F)F)/C(=C/c3ccc(-c4ccccc4)o3)C2=O)ccc1Cl";"IC50";"'='";"4160.0";"nM";"5.38";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4321225";"Inhibition of recombinant human LSD1 using ARTK(diMethyl)QTARKSTGGKAPRKQLAPRKQLA as substrate measured after 30 mins by ADHP/horseradish peroxidase coupled fluorescence assay";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4316617";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";""
"CHEMBL4573261";"";"0";"289.34";"0";"3.60";"4h";"Nc1cccc(/C=C/c2ccc(O)c(-c3ncccn3)c2)c1";"Inhibition";"'='";"97.66";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL4310661";"Inhibition of full length LSD1 (unknown origin) expressed in Escherichia coli BL21 (DE) at 10 uM using H3K4me2 peptide as substrate after 30 mins by fluorescence assay relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4308871";"1";"Scientific Literature";"Bioorg Med Chem";"2018";"None";""
"CHEMBL226102";"";"0";"711.23";"2";"3.72";"PG11144";"CCNCCCCNCCCCNCCCCNCCCCNC/C=C/CNCCCCNCCCCNCCCCNCCCCNCC";"Inhibition";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL2182191";"Inhibition of LSD1 in human Calu6 cells assessed as increase in SFRP2 mRNA expression at 5 uM after 48 hrs by qPCR analysis relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Calu-6";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2177075";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3307639";""
"CHEMBL258194";"";"0";"209.29";"0";"2.70";"7";"NC1CC1(c1ccccc1)c1ccccc1";"Ratio";"'<'";"1.0";"/M/s";"";"";"";"";"";"";"";"";"False";"CHEMBL926833";"Ratio of Kinact to KI of human LSD1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144791";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL1200425";"PARGYLINE HYDROCHLORIDE";"4";"195.69";"0";"1.75";"4, pargyline";"C#CCN(C)Cc1ccccc1.Cl";"FC";"'='";"1.29";"";"";"";"";"";"";"";"";"";"False";"CHEMBL2184302";"Inhibition of LSD1 in human Calu6 cells assessed as increase in H3K4me2 at 10 uM after 48 hrs by Western blot method relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Calu-6";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2177075";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3307639";""
"CHEMBL4069570";"";"0";"270.29";"0";"2.36";"4i";"N/C(=N\O)c1ccc(/C=C/c2ccc(O)c(O)c2)cc1";"Inhibition";"'='";"87.8";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL4002889";"Inhibition of recombinant full length LSD1 (unknown origin) expressed in Escherichia coli BL21 (DE) using H3K4me2 substrate at 10 uM by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4002561";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";""
"CHEMBL4100451";"";"0";"408.46";"0";"0.96";"11e";"N#Cc1ccc(-n2nc(C(=O)N3CCC[C@@H](N)C3)cc2OC[C@H]2CCC(=O)N2)cc1";"IC50";"'='";"4300.0";"nM";"5.37";"";"";"UO_0000065";"13.14";"0.24";"4.41";"4.25";"False";"CHEMBL4022410";"Inhibition of human recombinant N-terminal truncated LSD1 (151 to 852 residues) expressed in Escherichia coli using Histone H3(1 to 21)K4(Me1) biotin peptide as substrate incubated for 30 mins by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020789";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";""
"CHEMBL3189134";"";"0";"418.54";"0";"3.66";"SID160646435";"CN(C)CCCN1CCCN(C(=O)c2cccc(-c3cc(O)c4ncccc4c3)c2)C1";"Potency";"";"10786.9";"nM";"";"";"active";"UO_0000065";"";"";"";"";"False";"CHEMBL3215162";"PubChem BioAssay. qHTS Assay for Inhibitors of Human Jumonji Domain Containing 2E (JMJD2E): Counterscreen with LSD1.   (Class of assay: confirmatory) ";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL3104252";"";"0";"395.87";"0";"2.45";"14";"C/C(=N/NC(=O)c1cccc(S(=O)(=O)N(C)C)c1)c1cc(Cl)ccc1O";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"19.84";"0.41";"5.40";"7.93";"False";"CHEMBL3108407";"Inhibition of LSD1 (unknown origin) using dimethyl K4 peptide as substrate assessed as resorufin level by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3102716";"1";"Scientific Literature";"J. Med. Chem.";"2013";"None";""
"CHEMBL378900";"";"0";"801.14";"3";"6.62";"2d";"N=C(NCCCNCCCCCCCNCCCNC(=N)NC(=N)NCCC(c1ccccc1)c1ccccc1)NC(=N)NCCC(c1ccccc1)c1ccccc1";"Inhibition";"'='";"82.9";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL2184303";"Inhibition of human recombinant N-terminal histidine tagged LSD1 expressed in Escherichia coli BL21 (DE3) assessed as production of H2O2 using H3K4me2 (1 to 21 amino acid residues) as substrate at 10 uM by chemiluminescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL6136";"Lysine-specific histone demethylase 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2177075";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
